Minimum Sense Count,Maximum Sense Count,Mean Sense Count,Minimum Fitness,Maximum Fitness,Mean Fitness,Minimum Function Calls,Maximum Function Calls,Mean Function Calls,Minimum Function Forks,Maximum Function Forks,Mean Function Forks,Minimum Function Calls & Forks,Maximum Function Calls & Forks,Mean Funciton Calls & Forks,Minimum Guess0 Count,Maximum Guess0 Count,Mean Guess0 Count,Minimum Guess1 Count,Maximum Guess1 Count,Mean Guess1 Count
0,20.34,0.49372,-100,52,-53.424,0,8072,165.534,0,0,0,0,8072,165.534,0,15.92,0.45906,0,41.34,0.66206
0,18.32,0.57546,-100,53,-27.304,0,8073,163.717,0,0,0,0,8073,163.717,0,63.8,0.82054,0,41,1.08916
0,81.32,0.80784,-100,50,7.415,0,8117,147.809,0,0,0,0,8117,147.809,0,54.32,1.1292,0,40.68,1.55688
0,36.82,0.78764,-100,53,30.276,0,8038,160.456,0,0,0,0,8038,160.456,0,53.5,1.35668,0,32.78,1.79692
0,20.52,0.82698,-100,53,41.384,0,7160,92.749,0,0,0,0,7160,92.749,0,49.42,1.5253,0,39.36,2.00022
0,18.24,0.735,-100,56,40.056,0,7847,126.584,0,0,0,0,7847,126.584,0,54.62,1.5276,0,53.82,1.65924
0,20.36,0.83632,-100,57,44.158,0,7069,121.466,0,0,0,0,7069,121.466,0,54.64,1.63748,0,53.52,1.98408
0,18.16,0.82712,-100,57,43.085,0,8069,93.207,0,0,0,0,8069,93.207,0,54.2,1.49388,0,54.12,2.2343
0,36.48,0.79906,-100,52,45.658,0,3841,74.707,0,0,0,0,3841,74.707,0,27.68,1.4258,0,53.74,2.30332
0,23.2,0.87812,-100,62,42.584,0,7849,94.732,0,0,0,0,7849,94.732,0,27.6,1.35558,0,53.38,2.11296
0,18.32,0.86952,-100,56,43.502,0,7880,97.471,0,0,0,0,7880,97.471,0,27.76,1.45526,0,53.84,2.0599
0,18.2,0.92668,-100,56,43.869,0,8062,113.639,0,0,0,0,8062,113.639,0,27.78,1.50316,0,53.6,1.98672
0,81.06,1.00982,-100,58,44.625,0,8006,133.603,0,0,0,0,8006,133.603,0,32.56,1.40956,0,40.32,1.91624
0,31.86,1.1176,-100,56,44.33,0,6951,100.562,0,0,0,0,6951,100.562,0,32.72,1.57538,0,40.1,1.83922
0,81.74,1.19524,-100,57,44.33,0,8059,110.068,0,0,0,0,8059,110.068,0,33.16,1.62516,0,40,1.7908
0,31.14,1.02672,-100,59,43.983,0,8080,92.265,0,0,0,0,8080,92.265,0,33.22,1.44638,0,31.78,1.83776
0,32.8,1.04522,-100,58,44.514,0,7992,87.56,0,0,0,0,7992,87.56,0,53.58,1.42818,0,24,1.79844
0,32.92,1.01012,-100,54,44.965,0,7002,70.986,0,0,0,0,7002,70.986,0,53.78,1.663,0,17.68,1.61832
0,20.22,1.06626,-100,64,43.683,0,7191,83.062,0,0,0,0,7191,83.062,0,45.54,1.52176,0,22.8,1.69194
0,18,1.17018,-100,65,44.685,0,8072,108.192,0,0,0,0,8072,108.192,0,26.84,1.52754,0,33.02,1.65254
0,28.94,1.31024,-100,67,45.316,0,7254,139.241,0,0,0,0,7254,139.241,0,26.86,1.59144,0,33.12,1.57012
0,29.06,1.58274,-100,59,45.318,0,7203,178.184,0,0,0,0,7203,178.184,0,26.86,1.73932,0,32.2,1.61886
0,28.96,1.78614,-100,64,44.194,0,7363,166.646,0,0,0,0,7363,166.646,0,32.08,1.78462,0,39.98,1.67048
0,28.74,2.08456,-100,71,45.957,0,7269,167.355,0,0,0,0,7269,167.355,0,26.84,1.92912,0,39.76,1.73062
0,28.72,2.19672,-100,66,43.872,0,7125,181.917,0,0,0,0,7125,181.917,0,26.7,1.92156,0,40.28,1.84118
0,31.84,2.29664,-100,67,43.247,0,7350,197.641,0,0,0,0,7350,197.641,0,30.48,2.06274,0,40.34,1.92522
