Minimum Sense Count,Maximum Sense Count,Mean Sense Count,Minimum Fitness,Maximum Fitness,Mean Fitness,Minimum Function Calls,Maximum Function Calls,Mean Function Calls,Minimum Function Forks,Maximum Function Forks,Mean Function Forks,Minimum Function Calls & Forks,Maximum Function Calls & Forks,Mean Funciton Calls & Forks,Minimum Guess0 Count,Maximum Guess0 Count,Mean Guess0 Count,Minimum Guess1 Count,Maximum Guess1 Count,Mean Guess1 Count
0,30.2,3.06702,-100,73,46.74,0,4028,253.105,0,0,0,0,4028,253.105,0,92.3,2.58416,0,81.46,3.84426
0,31.76,3.62068,-100,73,46.938,0,8073,288.978,0,0,0,0,8073,288.978,0,93.06,2.65542,0,82.06,3.98124
0,78.34,4.16158,-100,71,47.19,0,8054,334.414,0,0,0,0,8054,334.414,0,89.94,2.72638,0,81.1,4.03446
0,77.54,4.30894,-100,75,46.933,0,8093,377.496,0,0,0,0,8093,377.496,0,89.48,2.83414,0,81.7,4.16992
0,77.88,4.77754,-100,72,45.755,0,8086,394.973,0,0,0,0,8086,394.973,0,90.32,2.84372,0,81.22,4.01326
0,40.76,4.86916,-100,84,47.389,0,8094,404.79,0,0,0,0,8094,404.79,0,90.36,2.87218,0,81.42,4.46598
0,78.38,5.3335,-100,79,49.226,0,8021,417.449,0,0,0,0,8021,417.449,0,89.8,2.83148,0,80.88,4.35602
0,40.72,5.90608,-100,77,49.237,0,8127,466.549,0,0,0,0,8127,466.549,0,90.36,2.8307,0,81.82,4.7056
0,78.44,6.36984,-100,80,49.001,0,8099,481.743,0,0,0,0,8099,481.743,0,90.54,2.84774,0,80.84,4.66712
0,78.24,6.6393,-100,75,50.855,0,8066,499.317,0,0,0,0,8066,499.317,0,21.26,2.704,0,81.6,4.9743
0,78.72,7.10874,-100,78,50.376,0,8091,561.954,0,0,0,0,8091,561.954,0,24.44,2.7911,0,81.12,5.73532
